keywords,language,meta-description,name,companyhomepageurl,location,street,city,region,postalCode,country,size,revenue,industries,similarTo,score,summary,ceo,phoneNumbers,linkedInUri,facebookUri,crunchbaseUri,twitterUri,wikipediaUri,angellistUri,githubUri,sicClassificationCode,sicClassificationName,naicsClassificationCode,naicsClassificationName,foundingDate,totalInvestment,investmentsSeries,investmentsAmount,investmentsDate,investors,isPublic,ipoDate,stockExchange,stockSymbol,isNonProfit,numVisits,lastActivityDate
"Contact, Demo",en-US,Secure data sharing  zero-trust required. Karlsgate™ offers privacy-by-design data collaboration. Learn about Karlsgate Identity Exchange™.,Karlsgate,karlsgate.com,"Budd Lake, New Jersey",3 Kobert Ave,Budd Lake,New Jersey,7828,United States of America,5,99000 USD,"Software Companies,Enterprise Software Companies",,,Organization founded in 2020,Brian Mullin,,linkedin.com/company/karlsgate,,crunchbase.com/organization/karlsgate,,,,,"7372,7372,7370,7300","Prepackaged Software,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services","511210,511210,511200,511000,510000",Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information,2020-04-28,4000000 USD,Seed,4000000 USD,2022-03-26,"M12 - Microsoft's Venture Fund,Motley Fool Ventures",FALSE,,,,FALSE,0,
,,We are building a predictive engine to determine the right treatment for every cancer. Every patient and every cancer is unique. At Known  we don’t just guess how an individual might respond to drugs – we see those responses in living cells on our platform.,Known Medicine,knownmed.com,"Salt Lake City, Utah",,Salt Lake City,Utah,84180,United States of America,6,330000 USD,"Software Companies,Artificial Intelligence Companies,Bioinformatics Organizations",,,Organization founded in 2020,Andrea Mazzocchi,,linkedin.com/company/known-medicine,,crunchbase.com/organization/known-medicine,twitter.com/known_med,,,,"7371,7370,7300,7371,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Prepackaged Software","541511,541510,541500,541000,540000,541511,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-05-19,9625000 USD,"Seed,Pre Seed,Seed,Seed","125000 USD,2300000 USD,7200000 USD","2020-08-24,2020-10-30,2021-08-25,2022-03-29","Y Combinator,FORWARD VENTURE CAPITAL BV,Kickstart,Nish Bhat,Cota Capital,FORWARD VENTURE CAPITAL BV,Kickstart,Caffeinated Capital,Chris Gibson,Y Combinator,O'Reilly AlphaTech Ventures,Khosla Ventures,Altitude Lab",FALSE,,,,FALSE,0,
,en,Leverage product analytics to delight users✨,Kraftful,kraftful.com,"San Francisco, California",,San Francisco,California,94115,United States of America,5,99000 USD,"Software Companies,Computer Hardware Companies,Internet Of Things Companies",,,Organization founded in 2019,Yana Welinder,415-234-0701,linkedin.com/company/kraftful,facebook.com/Kraftful,crunchbase.com/organization/kraftful,twitter.com/GetKraftful,,,,"7371,7370,7300,5734,5730,5700,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer And Computer Software Stores,Radio, Television, Consumer Electronics, And Music Stores,Home Furniture, Furnishings, And Equipment Stores,Prepackaged Software","541511,541510,541500,541000,540000,334000,330000,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Computer and Electronic Product Manufacturing;Manufacturing;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2019-01-01,3150000 USD,"Pre Seed,Seed,Seed","150000 USD,1000000 USD,2000000 USD","2019-08-19,2020-01-24,2022-02-08","Y Combinator,f7 Ventures,Julia Collins,Lukas Biewald,Y Combinator,Cleo Capital,Nicolas Pinto,Leadout Capital,Samsung NEXT,Precursor Ventures",FALSE,,,,FALSE,0,
,en,,KSOC Labs Inc,ksoc.com,"San Francisco, California",584 Castro St #2185,San Francisco,California,94114.0,United States of America,5,72000 USD,"Software Companies,Software As A Service Companies",,,Organization founded in 2021,Brooke Motta,650-825-4725,linkedin.com/company/ksoc-labs,,crunchbase.com/organization/ksoc-labs-inc,twitter.com/ksoclabs,,,,"7372,7372,7370,7300","Prepackaged Software,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services","511210,511210,511200,511000,510000",Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information,2021-01-01,6650000 USD,"Pre Seed,Seed","650000 USD,6000000 USD","2021-11-01,2022-02-15","Andrew Peterson,Carol Meyers,Jim Manico,Grant Miller,Zane Lackey,.406 Ventures,GULA TECH ADVENTURES INC,Vertex US",FALSE,,,,FALSE,0,
,,,Labrador Systems Inc,labradorsystems.com,"Oak Park, California",351 Southridge Dr,Oak Park,California,91377,United States of America,5,36000 USD,"Software Companies,Artificial Intelligence Companies,Robotics Companies",,,Organization founded in 2017,Mike Dooley,,linkedin.com/company/labrador-systems,facebook.com/LabradorSystems,crunchbase.com/organization/labrador-systems,,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2017-07-17,5355756 USD,"Pre Seed,Seed,Non Equity Assistance,Grant,Seed","2000000 USD,255756 USD,3100000 USD","2019-09-24,2019-12-01,2021-01-01,2021-02-16,2022-01-04","iRobot Ventures,HAX,Amazon Alexa Fund,Ventures America,SOSV,Third Act Ventures,Creative Destruction Lab,National Science Foundation (NSF),Grep VC,iRobot Ventures,HAX,Amazon Alexa Fund,SOSV",FALSE,,,,FALSE,0,
Contact,,,Lessly.io,lessly.io,"State College, Pennsylvania",123 South Burrowes Street,State College,Pennsylvania,16801,United States of America,5,87000 USD,"Consumer Service Companies,Shopping Delivery Services,Software Companies,Software As A Service Companies",,,Organization founded in 2021,,+1-814-753-7219,linkedin.com/company/lesslyio,,crunchbase.com/organization/lessly-io,,,,,"7389,7380,7300,7372,7389,7372,7370","Business Services, Not Elsewhere Classified,Miscellaneous Business Services,Business Services,Prepackaged Software,Business Services, Not Elsewhere Classified,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related","511210,511200,511000,510000,511210,492100,561000,492000,490000,560000",Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Software Publishers;Couriers and Express Delivery Services;Administrative and Support Services;Couriers and Messengers;Transportation and Warehousing;Administrative and Support and Waste Management and Remediation Services,2021-08-01,,Seed,,2022-03-09,"William Callahan, CFA, CFP®",FALSE,,,,FALSE,0,
"Contact, Demo",en,Highlight's in-home product testing platform streamlines everything from recruit to data set  including all the logistics of getting product to target consumers.,Highlight,letshighlight.com,"New York City, New York",,New York City,New York,10019,United States of America,5,220000 USD,"Software Companies,Computer Hardware Companies",,,Organization founded in 2021,Dana Kim,1-520-298-4522,linkedin.com/company/showcase-insights,facebook.com/highlightcommunity,crunchbase.com/organization/highlight-c6d1,twitter.com/letshighlight,,,,"5734,5730,5700,7372,7370,7300","Computer And Computer Software Stores,Radio, Television, Consumer Electronics, And Music Stores,Home Furniture, Furnishings, And Equipment Stores,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services","511210,511200,511000,510000,334000,330000",Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Computer and Electronic Product Manufacturing;Manufacturing,2021-01-01,8200000 USD,"Seed,Seed","1200000 USD,7000000 USD","2020-11-18,2022-03-15","HearstLab,Sixers Innovation Lab,First Round Capital,Max Mullen,Operator Partners,HearstLab,Tom Bernthal,Zander Lurie,Sixers Innovation Lab,Richard Thornton,Scribble Ventures",FALSE,,,,FALSE,0,
Contact,en-US,,Mantis Robotics,mantis-robotics.com,"San Francisco, California",,San Francisco,California,94115,United States of America,5,96000 USD,"Software Companies,Artificial Intelligence Companies,Robotics Companies",,,Organization founded in 2020,,+1-925-400-8083,linkedin.com/company/mantis-robotics,,crunchbase.com/organization/mantis-robotics,,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-01-01,,"Seed,Seed",,"2021-09-15,2022-04-21","Batchery,Amazon.com Inc.",FALSE,,,,FALSE,0,
,,,Metapair,metapair.com,"San Francisco, California",50-60 Francisco St,San Francisco,California,94133.0,United States of America,5,87000 USD,"Software Companies,Artificial Intelligence Companies,Natural Language Processing Companies",,,Organization founded in 2020,,,linkedin.com/company/metapair,facebook.com/Metapair,crunchbase.com/organization/metapair,,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-05-01,,Seed,,2022-04-12,2.12 Angels,FALSE,,,,FALSE,0,
"Contact, Demo",,Easily pay for parking through MeterFeeder,MeterFeeder,meterfeeder.com,"Braddock, Pennsylvania",522 Braddock Ave,Braddock,Pennsylvania,15104,United States of America,6,260000 USD,"Software Companies,Computer Hardware Companies,Internet Of Things Companies",,,Organization founded in 2014,Jim Gibbs,844463-7275,linkedin.com/company/meter-feeder-inc,facebook.com/meterfeeder.inc,crunchbase.com/organization/meterfeeder,twitter.com/meterfeeder,,angel.co/meterfeeder,,"7371,7370,7300,5734,5730,5700,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer And Computer Software Stores,Radio, Television, Consumer Electronics, And Music Stores,Home Furniture, Furnishings, And Equipment Stores,Prepackaged Software","541511,541510,541500,541000,540000,334000,330000,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Computer and Electronic Product Manufacturing;Manufacturing;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2014-10-13,4106000 USD,"Pre Seed,Seed,Seed,Debt Financing,Seed,Seed,Convertible Note,Seed","120000 USD,493000 USD,543000 USD,250000 USD,50000 USD,50000 USD,2600000 USD","2016-03-22,2017-04-13,2018-01-15,2018-03-06,2019-03-28,2020-06-24,2020-11-12,2022-04-20","Y Combinator,Matt Cutts,Evan Frazier,Michael Dillard,CV Catalyst Fund,Innovation Works,Paul Buchheit,Thomas Johnson,Alex Pattis,Evan Gibson,Pit Crew,Ben Harel,Innovation Works,ACVC,Blue Slide Ventures,Precursor Ventures,Innovation Works,Innovation Works,Mountain State Capital,Trucks Venture Capital,Precursor Ventures",FALSE,,,,FALSE,0,
,,,Mod Tech Labs,modtechlabs.com,"Austin, Texas",6234 Boxcar Run,Austin,Texas,78745,United States of America,5,100000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies",,,Organization founded in 2020,Alexandira Porter,512-222-3689,linkedin.com/company/modtechlabs,facebook.com/pg/modetechlabs,crunchbase.com/organization/mod-tech-labs,twitter.com/modtechlabs,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-01-21,838474 USD,"Pre Seed,Pre Seed,Pre Seed,Non Equity Assistance,Seed","100000 USD,450000 USD,220000 USD,68474 USD","2020-01-31,2020-05-01,2020-10-13,2021-07-07,2022-04-15","Sputnik ATX,Sputnik ATX,Quansight,MassChallenge,Wefunder",FALSE,,,,FALSE,0,
"Contact, Demo",en-US,,MygenoMD,mygenomd.com,"New York City, New York",,New York City,New York,11217,United States of America,5,80000 USD,"Software Companies,Artificial Intelligence Companies",,,Organization founded in 2021,,,linkedin.com/company/mygenomd,facebook.com/MygenoMD,crunchbase.com/organization/mygenomd,twitter.com/MygenoM,,,,"7371,7370,7300,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-01-01,,Seed,,2022-02-01,StartUp Health,FALSE,,,,FALSE,0,
,,,Naima Health,naimahealth.com,"Pittsburgh, Pennsylvania",,Pittsburgh,Pennsylvania,15232,United States of America,5,170000 USD,"Software Companies,Artificial Intelligence Companies,Natural Language Processing Companies",,,Organization founded in 2018,,412-620-8461,linkedin.com/company/naima-health,,crunchbase.com/organization/naima-health,twitter.com/NaimaHealth,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2018-01-01,50000 USD,Seed,50000 USD,2022-02-15,"Innovation Works,AlphaLab Health",FALSE,,,,TRUE,0,
"Contact, Demo",en,Navattic's demo creation software helps teams instantly create interactive demos that convert.,Navattic,navattic.com,"San Francisco, California",,San Francisco,California,94115,United States of America,5,100000 USD,"Software Companies,Enterprise Software Companies,CRM Software Companies",,,Organization founded in 2020,,,linkedin.com/company/navattic,,crunchbase.com/organization/navattic,twitter.com/navattic,,,,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511200,511000,510000,511210","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Software Publishers",2020-01-01,5425000 USD,"Grant,Pre Seed,Seed,Seed","125000 USD,1100000 USD,4200000 USD","2020-05-01,2021-01-01,2021-05-06,2022-03-17","Lighthouse Labs RVA,Y Combinator,645 Ventures,Nick Raushenbush,Dan Siroker,Ben Thompson,645 Ventures,Canvas Ventures",FALSE,,,,FALSE,0,
Contact,,,NetBook,netbook.ai,"Wilmington, Delaware",1013 Centre Road Suite 403-B,Wilmington,Delaware,19805,United States of America,5,96000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies,Natural Language Processing Companies,Computer Hardware Companies,Internet Of Things Companies",,,Organization founded in 2021,,,linkedin.com/company/netbook-ml,,crunchbase.com/organization/netbook,,,,,"7371,7371,7370,7300,7371,5734,7371,5730,5700,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Computer And Computer Software Stores,Computer Programming Services,Radio, Television, Consumer Electronics, And Music Stores,Home Furniture, Furnishings, And Equipment Stores,Prepackaged Software","541511,541511,541510,541500,541000,540000,541511,334000,541511,330000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Computer and Electronic Product Manufacturing;Custom Computer Programming Services;Manufacturing;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-06-22,640000 USD,"Pre Seed,Seed","140000 USD,500000 USD","2021-09-19,2022-02-09",Chiratae Ventures,FALSE,,,,FALSE,0,
Contact,en,Vehicle mounted cameras and AI for electric distribution grid assets,Noteworthy AI,noteworthy.ai,"Stamford, Connecticut",,Stamford,Connecticut,6902,United States of America,5,110000 USD,"Motor Vehicle Manufacturers,Software Companies,Computer Hardware Companies,Internet Of Things Companies",,,Motor vehicle manufacturer founded in 2020,,203-902-5256,linkedin.com/company/noteworthy-ai,,crunchbase.com/organization/noteworthy-ai,twitter.com/AiNoteworthy,,,,"7371,7370,7300,3711,3710,3700,5734,5730,5700,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Motor Vehicles And Passenger Car Bodies,Motor Vehicles And Motor Vehicle Equipment,Transportation Equipment,Computer And Computer Software Stores,Radio, Television, Consumer Electronics, And Music Stores,Home Furniture, Furnishings, And Equipment Stores,Prepackaged Software","541511,541510,541500,541000,540000,336100,336000,330000,334000,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Motor Vehicle Manufacturing;Transportation Equipment Manufacturing;Manufacturing;Computer and Electronic Product Manufacturing;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-08-01,2145000 USD,"Seed,Convertible Note,Seed,Seed","120000 USD,75000 USD,950000 USD,1000000 USD","2021-09-13,2022-01-05,2022-02-28,2022-03-19","Techstars Alabama Power EnergyTech Accelerator,Techstars,Asymmetry Ventures,Techstars",FALSE,,,,FALSE,0,
,en,We are transforming the human element of cybersecurity for modern work. Join our early access program to learn more.,Nudge Security,nudgesecurity.com,"Austin, Texas",,Austin,Texas,78749,United States of America,5,230000 USD,"Software Companies,Enterprise Software Companies,Security Software Companies",,,Organization founded in 2022,,,linkedin.com/company/nudge-security,,crunchbase.com/organization/nudge-security,,,,,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2022-01-01,7000000 USD,Seed,7000000 USD,2022-04-05,"Ballistic Ventures,Jake Seid,Derek Smith,Ted Schlein,Barmak Meftah",FALSE,,,,FALSE,0,
Contact,,Our technology unlocks the power of machine learning and artificial intelligence to generate predictions and odds in real-time. Now available for MLB and NFL.,nVenue,nvenue.com,"Houston, Texas",14006 Cypresswood Crossing Blvd,Houston,Texas,77070,United States of America,9,290000 USD,"Software Companies,Artificial Intelligence Companies,Natural Language Processing Companies",,,Organization founded in 2018,Kelly Pracht,,linkedin.com/company/65468045,facebook.com/nVenueTech,crunchbase.com/organization/nvenue,twitter.com/nvenuetech,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2018-01-01,4367000 USD,"Pre Seed,Seed","867000 USD,3500000 USD","2021-02-22,2022-03-02","Comcast NBCUniversal SportsTech,Corazon Capital,KB Partners",FALSE,,,,FALSE,0,
"Contact, Demo",,,NyquistData Inc.,nyquistdata.com,"Palo Alto, California",855 El Camino Real ste 13a-286,Palo Alto,California,94301-2303,United States of America,5,80000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies",,,Organization founded in 2020,Michelle Wu,833-536---6888,linkedin.com/company/nyquistdata,,crunchbase.com/organization/nyquist-data-inc,,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-01-15,6000000 USD,"Pre Seed,Seed",6000000 USD,"2020-02-02,2022-03-23","Village Global,GSR Ventures,Lightspeed Venture Partners,Peterson Ventures",FALSE,,,,FALSE,0,
Contact,,,Torc,opentorc.com,"Boston, Massachusetts",,Boston,Massachusetts,2155,United States of America,5,72000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies,Natural Language Processing Companies",,,Organization founded in 2021,,,linkedin.com/company/opentorc,,crunchbase.com/organization/torc-22fa,twitter.com/opentorc,,,,"7371,7371,7370,7300,7371,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,541511,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-01-01,5000000 USD,Seed,5000000 USD,2022-03-01,"Recognize Partners,Asymmetric Capital Partners",FALSE,,,,FALSE,0,
,,,Paccurate,paccurate.io,"Brooklyn, New York",,Brooklyn,New York,11215,United States of America,5,39000 USD,"Software Companies,Enterprise Software Companies,CRM Software Companies,Software As A Service Companies",,,Organization founded in 2018,,978-735-1500,linkedin.com/company/paccurate,facebook.com/paccurate,crunchbase.com/organization/paccurate,twitter.com/paccurateio,,,,"7371,7370,7300,7372,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511210,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2018-01-01,2200000 USD,Seed,2200000 USD,2022-05-03,"SpringTime Ventures,Grand Ventures,PV Ventures",FALSE,,,,FALSE,0,
"Contact, Demo",,Pearly is the dental financial engagement platform that boosts practice profitability and keeps patients smiling.,Pearly,pearlyplan.com,"Santa Barbara, California",,Santa Barbara,California,93109,United States of America,5,96000 USD,"Software Companies,Software As A Service Companies",,,Organization founded in 2019,Jeff Cole,"1-844-955-0637,805-516-0411",linkedin.com/company/pearlyplan,facebook.com/pearlyplan,crunchbase.com/organization/pearly,twitter.com/PearlyPlan,,,,"7372,7372,7370,7300","Prepackaged Software,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services","511210,511210,511200,511000,510000",Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information,2019-01-01,1500000 USD,Seed,1500000 USD,2022-01-22,ScOp Venture Capital,FALSE,,,,FALSE,0,
,en-US,,Peoplelogic,peoplelogic.ai,"Durham, North Carolina",,Durham,North Carolina,27701,United States of America,6,190000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies,Natural Language Processing Companies",,,Organization founded in 2019,Matthew Schmidt,1-9198136616,linkedin.com/company/peoplelogic-ai,facebook.com/PeoplelogicAI,crunchbase.com/organization/peoplelogic-ai,twitter.com/PeoplelogicAI,,,,"7371,7371,7370,7300,7371,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,541511,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2019-08-19,1900000 USD,"Pre Seed,Seed",1900000 USD,"2021-04-08,2022-03-22","Batchery,Scot Wingo,James Avery,Triangle Tweener Fund,North Carolina Venture Capital Fund,Susan Wall,Underdog Labs",FALSE,,,,FALSE,0,
Demo,en,Permiso Home,Permiso Security,permiso.io,"Palo Alto, California",,Palo Alto,California,94306,United States of America,5,110000 USD,"Consumer Service Companies,Security Companies,Software Companies,Enterprise Software Companies,Security Software Companies",,,Organization founded in 2020,Jason Martin,,linkedin.com/company/69213160,,crunchbase.com/organization/permiso-security,twitter.com/permisosecurity,,,,"7371,7370,7300,7389,7381,7380,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Business Services, Not Elsewhere Classified,Detective, Guard, And Armored Car Services,Miscellaneous Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,561000,561612,561610,561600,560000,511210,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Administrative and Support Services;Security Guards and Patrol Services;Investigation, Guard, and Armored Car Services;Investigation and Security Services;Administrative and Support and Waste Management and Remediation Services;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-01-01,10000000.0 USD,Seed,10000000.0 USD,2022-01-18,"Foundation Capital,Talha Tariq,Tyler Shields,Jason Chan,Rain Capital,Brandon Dixon,Travis McPeak,11.2 Capital,Point72 Ventures,Work-Bench",FALSE,,,,FALSE,0,
Contact,,Pesto is the digitally native  authentically human workplace.,Pragli,pesto.app,"San Francisco, California",25 Balboa St,San Francisco,California,94118.0,United States of America,2,80000 USD,"Software Companies,Artificial Intelligence Companies,Virtual Reality Companies",,,Organization founded in 2020,Doug Safreno,,linkedin.com/company/pestohq,,crunchbase.com/organization/pragli,twitter.com/PestoHQ,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-04-01,5999999 USD,"Pre Seed,Seed","999999 USD,5000000 USD","2020-04-02,2022-02-01","Polymath Capital,Jett Fein,Manu Kumar",FALSE,,,,FALSE,0,
